Phase,Disability Type,Hazard,Action / Need,Article Title,URL
Pre-Disaster,Hearing Impairment,All Hazards,Visual Alert Systems & Text Notifications,National Association of the Deaf: Position Statement on Accessible Emergency Management,https://www.nad.org/about-us/position-statements/position-statement-on-accessible-emergency-management-for-deaf-and-hard-of-hearing-people/
Pre-Disaster,Hearing Impairment,All Hazards,First Responder Cultural Competency Training,Responding to the Deaf in Disasters: Establishing the Need for Systematic Training (BMC Health Services),https://bmchealthservres.biomedcentral.com/articles/10.1186/1472-6963-13-84
Pre-Disaster,Visual Impairment,All Hazards,Route Familiarisation & Emergency Kit Labelling,Emergency Preparedness and People who are Blind and Visually Impaired (NJ Council of the Blind),https://www.njcounciloftheblind.org/brochures/emergency_preparedness_and_people_who_are_blind_and_visually_impaired.htm
Pre-Disaster,Other Physical,All Hazards,Wheelchair Backup & Evacuation Route Planning,Disaster Readiness Tips for People with Mobility Disabilities (BrainLine / NOD),https://www.brainline.org/article/disaster-readiness-tips-people-mobility-disabilities
Pre-Disaster,Spinal Cord Injury,All Hazards,Wheelchair Backup & Rescue Contact Registry,FEMA Ready: Personal Disaster Preparedness – Wheelchair Users Social Media Toolkit,https://www.ready.gov/disability-toolkit
Pre-Disaster,ABI,All Hazards,Brain Injury Facility Registry & Caregiver Backup,Texas HHS Office of Acquired Brain Injury: Emergency Preparedness,https://www.hhs.texas.gov/services/disability/acquired-brain-injury/emergency-preparedness
Pre-Disaster,Multiple Sclerosis,All Hazards,"Emergency Kit, Medication Supply & Evacuation Plan",Disaster Preparation for People with Multiple Sclerosis: A Scoping Review (IJMSC),https://www.ijmsc.org/view/disaster-preparation-multiple-sclerosis
Pre-Disaster,Psychosocial Disability,All Hazards,Mental Health Crisis Plan,PAHO/WHO: Mental Health and Psychosocial Support in Emergencies (MHPSS),https://www.paho.org/en/topics/mental-health-and-psychosocial-support-emergencies-mhpss
Pre-Disaster,Other Neurological,All Hazards,Power Backup for Medical Devices,FEMA Office of Disability Integration and Coordination,https://www.fema.gov/about/offices/disability
Pre-Disaster,Other Sensory/Speech,All Hazards,AAC Device Backup Power,"NARIC: Emergency Preparedness for People with Intellectual, Developmental or Cognitive Disabilities",https://naricspotlight.com/2019/09/30/emergency-preparedness-and-people-with-intellectual-developmental-or-cognitive-disabilities/
During Disaster,All Disabilities,All Hazards,Area of Refuge / Evacuation Chair Use,Emergency Evacuation for People with Disabilities – Area of Refuge & Carry Techniques (UC San Diego),https://blink.ucsd.edu/safety/emergencies/preparedness/get-ready/disabilities.html
During Disaster,All Disabilities,All Hazards,Evacuation Priority & Buddy System,Evacuation Procedures for People with Disabilities – Disability-by-Disability Protocol (Mt SAC),https://www.mtsac.edu/access/resources/procedures.html
During Disaster,All Disabilities,All Hazards,Incident Command Communication,Guide for Assisting Individuals with Disabilities in an Emergency – Clear Path of Travel (Stanford),https://diversityandaccess.stanford.edu/disability-access/emergency-evacuation-planning/guide-assisting-individuals-disabilities-emergency
During Disaster,All Disabilities,Fire,No Elevator Policy / Stairwell Refuge,CSUSM Emergency Management: Persons with Disabilities – Fire & Earthquake Procedures,https://www.csusm.edu/em/procedures/standard.html
During Disaster,All Disabilities,Earthquake,Drop Cover Hold On – Disability Adaptations,FEMA: Key Earthquake Safety Tips for People with Disabilities,https://www.fema.gov/fact-sheet/key-earthquake-safety-tips-people-disabilities
During Disaster,All Disabilities,Earthquake,Wheelchair Brake & Head Protection,Red Cross: Earthquake Safety Including Wheelchair Users,https://www.redcross.org/get-help/how-to-prepare-for-emergencies/types-of-emergencies/earthquake.html
During Disaster,Other Physical,All Hazards,Two-Person Carry Techniques & Evacuation Chair,Guidelines for People with Disabilities in Emergencies – Mobility Impairment Protocols (LAVC),https://www.lavc.edu/campus-life/sheriffs-station/erp/fpwd
During Disaster,Other Physical,Flood,Wheelchair Accessible Rescue Route & Transport,DOT Guidelines on Emergency Preparedness and Individuals with Disabilities,https://www.transportation.gov/civil-rights/civil-rights-awareness-enforcement/departmental-guidelines-emergency-preparedness-and
During Disaster,Spinal Cord Injury,All Hazards,Do Not Move Without Training – Injury Risk,Relocation of Persons with Disabilities – Earthquake and Mobility Impairment (SMC),https://smc.edu/administration/emergency-preparedness/Relocation-of-Persons-with-Disabilities.php
During Disaster,Spinal Cord Injury,Earthquake,Protect from Falling Debris – Seated Position,Stanford EHS: Emergency Response Guidelines – Wheelchair Users During Earthquake,https://ehs.stanford.edu/manual/emergency-response-guidelines/earthquake
During Disaster,Stroke,All Hazards,Medical Emergency Recognition During Disaster,BrainAndSpinalCord.org: Stroke ABI – First Responder Immediate Care,https://brainandspinalcord.org/faqs/abi/can-stroke-cause-acquired-brain-injury/
During Disaster,Multiple Sclerosis,Fire,Heat Sensitivity – Prioritise Cool Evacuation Route,Disaster Preparation for People with Multiple Sclerosis: A Scoping Review (IJMSC),https://www.ijmsc.org/view/disaster-preparation-multiple-sclerosis
During Disaster,Visual Impairment,Earthquake,Caution – Familiar Routes Disrupted by Debris,FEMA: Key Earthquake Safety Tips – Blind/Low Vision During Earthquake,https://www.fema.gov/fact-sheet/key-earthquake-safety-tips-people-disabilities
During Disaster,Autism,All Hazards,Sensory Overload Management – Calm Environment,Autism Speaks: Evacuating During Natural Disaster – Shelter Instructions,https://www.autismspeaks.org/autism-speaks-natural-disaster-resources
During Disaster,Autism,Fire,Predictable Commands – Avoid Sudden Loud Instructions,CHLA: Trauma-Informed Response to Children and Adults with Disabilities During Disasters,https://www.chla.org/blog/serving-community/chla-train-first-responders-helping-individuals-disabilities-during-natural
During Disaster,Down Syndrome,All Hazards,Physical Assistance + Communication Support,Ready.gov: Cognitive/Developmental Disabilities Section – During Disaster,https://ready.gov/disability
During Disaster,Cerebral Palsy,All Hazards,Adapted Carry Technique – Check Trunk Control,CSUSM Emergency Management: Mobility Impaired Evacuation Procedures,https://www.csusm.edu/em/procedures/standard.html
During Disaster,Developmental Delay,All Hazards,Familiar Person Accompaniment – Reduce Panic,Ready.gov: Cognitive/Developmental Disabilities – Shelter Behaviour Management,https://ready.gov/disability
During Disaster,Psychosocial Disability,All Hazards,Psychological First Aid at Scene,SAMHSA / MN DOH: Disaster Behavioral Health – Psychological First Aid,https://www.health.state.mn.us/communities/ep/behavioral/index.html
During Disaster,Psychosocial Disability,Flood,De-escalation Before Physical Rescue,PAHO/WHO: Mental Health and Psychosocial Support in Emergencies,https://www.paho.org/en/topics/mental-health-and-psychosocial-support-emergencies-mhpss
During Disaster,Other Neurological,All Hazards,Medical Device Continuity – Power Source Check,Evacuation Procedures: Other Medical and Hidden Disabilities (Mt SAC),https://www.mtsac.edu/access/resources/procedures.html
During Disaster,Other Sensory/Speech,All Hazards,Alternative Communication Boards / Gestures,Guide for Assisting Individuals with Disabilities – AAC and Communication Support (Stanford),https://diversityandaccess.stanford.edu/disability-access/emergency-evacuation-planning/guide-assisting-individuals-disabilities-emergency
During Disaster,Other Physical,Earthquake,Clear Debris from Wheelchair Path,Guidelines for People with Disabilities in Emergencies – Mobility Impairment (LAVC),https://www.lavc.edu/campus-life/sheriffs-station/erp/fpwd
Post-Disaster,All Disabilities,All Hazards,Accessible Shelter & Recovery Services,Center for Disaster Philanthropy: People with Disabilities – Post-Disaster Recovery,https://disasterphilanthropy.org/cdp-resource/people-with-disabilities/
Post-Disaster,All Disabilities,All Hazards,Disability Integration at Recovery Centres,FEMA Office of Disability Integration and Coordination,https://www.fema.gov/about/offices/disability
Post-Disaster,All Disabilities,All Hazards,Assistive Technology Replacement,FEMA: 30 Ways FEMA Supports People with Disabilities – Recovery Phase,https://www.preventionweb.net/news/30-ways-fema-supports-emergency-preparedness-response-and-recovery-people-disabilities
Post-Disaster,Psychosocial Disability,All Hazards,Crisis Counselling & Mental Health Services,SAMHSA / MN DOH: Disaster Behavioral Health – Post-Disaster Recovery,https://www.health.state.mn.us/communities/ep/behavioral/index.html
Post-Disaster,Psychosocial Disability,All Hazards,Skills for Psychological Recovery (SPR),PTSD National Center: Early Interventions Following Disaster Events,https://www.ptsd.va.gov/disaster_events/for_providers/early_intervention_tx.asp
Post-Disaster,Autism,All Hazards,Return to Routine – Reduce Sensory Disruption,Autism Speaks: Natural Disaster Resources – Post-Disaster Recovery for Autism Families,https://www.autismspeaks.org/natural-disaster-resources
Post-Disaster,Intellectual Disability,All Hazards,Accessible Shelter Services & Support Workers,Center for Disaster Philanthropy: Ensure Shelters Are Safe Spaces for People with Disabilities,https://disasterphilanthropy.org/cdp-resource/people-with-disabilities/
Post-Disaster,Intellectual Disability,All Hazards,Rebuild Support Coordination Network,NARIC Spotlight: Emergency Preparedness for People with Intellectual/Developmental Disabilities,https://naricspotlight.com/2019/09/30/emergency-preparedness-and-people-with-intellectual-developmental-or-cognitive-disabilities/
Post-Disaster,Hearing Impairment,All Hazards,Accessible Disaster Recovery Centres,NAD: Position Statement – Accessible Emergency Management for Deaf and Hard of Hearing,https://www.nad.org/about-us/position-statements/position-statement-on-accessible-emergency-management-for-deaf-and-hard-of-hearing-people/
Post-Disaster,Visual Impairment,All Hazards,Re-orientation to Changed Environment,Emergency Preparedness and People who are Blind and Visually Impaired (NJ Council of the Blind),https://www.njcounciloftheblind.org/brochures/emergency_preparedness_and_people_who_are_blind_and_visually_impaired.htm
Post-Disaster,ABI,All Hazards,Specialist Brain Injury Facility Access & Rehabilitation,Texas HHS: Acquired Brain Injury Emergency Preparedness – Recovery Services,https://www.hhs.texas.gov/services/disability/acquired-brain-injury/emergency-preparedness
Post-Disaster,Multiple Sclerosis,All Hazards,Medication Continuity & Specialist Care Access,Disaster Preparation for People with Multiple Sclerosis: Scoping Review (IJMSC),https://www.ijmsc.org/view/disaster-preparation-multiple-sclerosis
Post-Disaster,Spinal Cord Injury,All Hazards,Accessible Temporary Housing & Equipment Replacement,FEMA Ready: Disaster Preparedness for Wheelchair Users – Recovery Checklist,https://www.fema.gov/press-release/20250121/disaster-preparedness-people-disabilities-same-different
Post-Disaster,Stroke,All Hazards,Medical Follow-up & Rehabilitation Access,BrainLine: Disaster Readiness Tips for People with Mobility Disabilities,https://www.brainline.org/article/disaster-readiness-tips-people-mobility-disabilities
Post-Disaster,Down Syndrome,All Hazards,Caregiver Support & Routine Restoration,Ready.gov: People with Disabilities – Post-Disaster Shelter and Cognitive Disability Tips,https://ready.gov/disability
Post-Disaster,Developmental Delay,All Hazards,Trauma-Informed Support for Distressed Children,CHLA: Trauma-Informed Response Curriculum for Children and Adults with Disabilities,https://www.chla.org/blog/serving-community/chla-train-first-responders-helping-individuals-disabilities-during-natural
Post-Disaster,Global Developmental Delay,All Hazards,Caregiver Mental Health & Respite Support,Center for Disaster Philanthropy: Ensure Support Workers Can Evacuate with Clients,https://disasterphilanthropy.org/cdp-resource/people-with-disabilities/
Post-Disaster,Other Neurological,All Hazards,Medical Device Power Restoration Priority,FEMA Office of Disability Integration and Coordination – Post-Disaster Services,https://www.fema.gov/about/offices/disability
